Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Desulfobacterota	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Desulfobacterota	1.46239799789896	0.00732457000850173	0.732457000850173	224
Bacteria	Desulfobacterota	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Desulfobacterota	1.57403126772772	0.00851585056432092	0.851585056432092	292
Bacteria	Desulfobacterota	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Desulfobacterota	1.19382002601611	0.00424189688927561	0.424189688927561	117
Bacteria	Desulfobacterota	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Desulfobacterota	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Desulfobacterota	0	0	0	0
Bacteria	Firmicutes	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Firmicutes	1.01072386539177	0.00301843693914178	0.301843693914178	74
Bacteria	Firmicutes	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Firmicutes	0.653212513775344	0.000852022030855369	0.0852022030855369	28
Bacteria	Firmicutes	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Firmicutes	0.867762024650201	0.00254148602182688	0.254148602182688	51
Bacteria	Firmicutes	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Firmicutes	0.0969100130080564	6.44558316413678e-05	0.00644558316413678	2
Bacteria	Firmicutes	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Firmicutes	1.57112627708431	0.00898222139627083	0.898222139627083	290
Bacteria	Firmicutes	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Firmicutes	3.21679247099304	0.425749935350401	42.5749935350401	13171
Bacteria	Firmicutes	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Firmicutes	2.94896282170591	0.484420808617986	48.4420808617986	7105
Bacteria	Firmicutes	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Firmicutes	2.98193180787035	0.525284363437029	52.5284363437029	7666
Bacteria	Firmicutes	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Firmicutes	3.2935282843383	0.513962461578706	51.3962461578706	15718
Bacteria	Firmicutes	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Firmicutes	3.32405083843124	0.491790370089533	49.1790370089533	16863
Bacteria	Firmicutes	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Firmicutes	3.19340290306242	0.468011700292507	46.8011700292507	12480
Bacteria	Firmicutes	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Firmicutes	3.23388410876589	0.496700746863897	49.6700746863897	13700
Bacteria	Firmicutes	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Firmicutes	3.25872705317575	0.47949099322426	47.949099322426	14507
Bacteria	Firmicutes	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Firmicutes	1.50514997831991	0.00783520788575761	0.783520788575761	248
Bacteria	Firmicutes	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Firmicutes	0	0	0	0
