Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	Bacteroidia	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	3.07947725502096	0.384904779958587	38.4904779958587	13198
Bacteria	Bacteroidota	Bacteroidia	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.9989326940415	0.411085277131928	41.1085277131928	10962
Bacteria	Bacteroidota	Bacteroidia	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.97123366579582	0.372851859908636	37.2851859908636	10284
Bacteria	Bacteroidota	Bacteroidia	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	3.04999285692014	0.407568996860023	40.7568996860023	12331
Bacteria	Bacteroidota	Bacteroidia	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	0.602059991327962	0.00104258814608871	0.104258814608871	33
Bacteria	Bacteroidota	Bacteroidia	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	0.301029995663981	0.000358352879854053	0.0358352879854053	11
Bacteria	Bacteroidota	Bacteroidia	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	1.59609704435429	0.0199688429400935	1.99688429400935	423
Bacteria	Bacteroidota	Bacteroidia	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	0	0	0	0
Bacteria	Bacteroidota	Bacteroidia	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.90363251608424	0.300443837487197	30.0443837487197	8800
Bacteria	Bacteroidota	Bacteroidia	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.87956502079722	0.326010338345865	32.6010338345865	8325
Bacteria	Bacteroidota	Bacteroidia	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.89667650106516	0.368119022316684	36.8119022316684	8660
Bacteria	Bacteroidota	Bacteroidia	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	3.05087167563012	0.414979009235936	41.4979009235936	12356
Bacteria	Bacteroidota	Bacteroidia	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.9527484259679	0.297249200699765	29.7249200699765	9855
Bacteria	Bacteroidota	Bacteroidia	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.94083330651645	0.396132870599901	39.6132870599901	9588
Bacteria	Bacteroidota	Bacteroidia	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.85064623518307	0.380719593273367	38.0719593273367	7788
Bacteria	Bacteroidota	Bacteroidia	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota_/_Bacteroidia	2.90609005139869	0.339679127964996	33.9679127964996	8850
Bacteria	Campilobacterota	Campylobacteria	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota_/_Campylobacteria	0	0	0	0
