Domain	Phylum	Class	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	E1-S40	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.31910605930978	0.0246257396198905	2.46257396198905	2905
Bacteria	Actinobacteriota	Coriobacteriia	E10-S49	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.38483964589368	0.0300259242160588	3.00259242160588	3382
Bacteria	Actinobacteriota	Coriobacteriia	E2-S41	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.43205257394954	0.0281056270863138	2.81056270863138	3772
Bacteria	Actinobacteriota	Coriobacteriia	E3-S42	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.21691955884286	0.0186062740388517	1.86062740388517	2293
Bacteria	Actinobacteriota	Coriobacteriia	E5-S44	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.28923847093442	0.025592613920645	2.5592613920645	2711
Bacteria	Actinobacteriota	Coriobacteriia	E6-S45	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.20817252666712	0.0223789178045355	2.23789178045355	2247
Bacteria	Actinobacteriota	Coriobacteriia	E7-S46	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.26312861636067	0.0261926266524345	2.61926266524345	2552
Bacteria	Actinobacteriota	Coriobacteriia	E8-S47	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.28764179824663	0.0213930427068813	2.13930427068813	2701
Bacteria	Actinobacteriota	Coriobacteriia	E9-S48	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.19609719368255	0.0175063295195975	1.75063295195975	2185
Bacteria	Bacteroidota	Bacteroidia	A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Bacteroidota_/_Bacteroidia	3.47871075551276	0.372488530995041	37.2488530995041	42140
Bacteria	Bacteroidota	Bacteroidia	A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Bacteroidota_/_Bacteroidia	3.39565083800383	0.344625439421696	34.4625439421696	34802
