Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.65042409660785	0.294790292798734	29.4790292798734	44702
Bacteria	Bacteroidota	C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.77865763194736	0.29527878427343	29.527878427343	60060
Bacteria	Bacteroidota	C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.78311713749047	0.30561417469567	30.561417469567	60680
Bacteria	Bacteroidota	D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.7996024258847	0.377802287385811	37.7802287385811	63028
Bacteria	Bacteroidota	D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.46582881535744	0.169153019225092	16.9153019225092	29220
Bacteria	Bacteroidota	D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.8371589814229	0.444874575173976	44.4874575173976	68722
Bacteria	Bacteroidota	D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.85224814538094	0.43495696400626	43.495696400626	71152
Bacteria	Bacteroidota	D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.58852940516094	0.25145633587192	25.145633587192	38763
Bacteria	Bacteroidota	D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.593363612683	0.343219151693461	34.3219151693461	39197
Bacteria	Bacteroidota	D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.70976165674661	0.297207014939222	29.7207014939222	51248
Bacteria	Bacteroidota	D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.82510790810112	0.34983016428792	34.983016428792	66841
Bacteria	Bacteroidota	D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.57213941977837	0.343451537513112	34.3451537513112	37327
Bacteria	Bacteroidota	D9-S38	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.58824929106479	0.302555531256834	30.2555531256834	38738
Bacteria	Bacteroidota	E1-S40	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.53851089730499	0.292838614516047	29.2838614516047	34545
Bacteria	Bacteroidota	E10-S49	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Bacteroidota	3.45035689853649	0.250337369935012	25.0337369935012	28197
